Fin_epoch=0, Fin_Total: 4388981.50, Re_Loss: 618873600.00, SEloss: 369355.28, dense_loss: 6843.12, csd: 21.62, consistent_loss: 1359675.75, Cq_loss: 702.73 
Fin_epoch=5, Fin_Total: 1224351.62, Re_Loss: 254632960.00, SEloss: 90107.83, dense_loss: 6060.53, csd: 26.97, consistent_loss: 316097.94, Cq_loss: 872.24 
Fin_epoch=10, Fin_Total: 459350.78, Re_Loss: 71771344.00, SEloss: 32093.76, dense_loss: 5750.52, csd: 26.45, consistent_loss: 87227.94, Cq_loss: 776.21 
Fin_epoch=15, Fin_Total: 310386.78, Re_Loss: 26175850.00, SEloss: 21097.37, dense_loss: 6500.47, csd: 25.41, consistent_loss: 47561.38, Cq_loss: 899.70 
Fin_epoch=20, Fin_Total: 236534.39, Re_Loss: 13986263.00, SEloss: 15248.68, dense_loss: 6234.84, csd: 25.53, consistent_loss: 31848.10, Cq_loss: 885.00 
Fin_epoch=25, Fin_Total: 191948.03, Re_Loss: 10555400.00, SEloss: 11356.85, dense_loss: 5986.30, csd: 26.15, consistent_loss: 23102.60, Cq_loss: 885.36 
Fin_epoch=30, Fin_Total: 165426.33, Re_Loss: 9266356.00, SEloss: 9024.61, dense_loss: 5772.40, csd: 26.84, consistent_loss: 18345.33, Cq_loss: 885.61 
Fin_epoch=35, Fin_Total: 147694.72, Re_Loss: 8319430.00, SEloss: 7486.90, dense_loss: 5618.25, csd: 27.39, consistent_loss: 15087.58, Cq_loss: 879.09 
Fin_epoch=40, Fin_Total: 136548.75, Re_Loss: 7655750.50, SEloss: 6577.00, dense_loss: 5464.00, csd: 27.73, consistent_loss: 13107.08, Cq_loss: 863.46 
Fin_epoch=45, Fin_Total: 129729.35, Re_Loss: 7293602.50, SEloss: 6055.56, dense_loss: 5337.91, csd: 27.86, consistent_loss: 12055.24, Cq_loss: 838.80 
Fin_epoch=50, Fin_Total: 124938.94, Re_Loss: 7061151.00, SEloss: 5719.36, dense_loss: 5220.85, csd: 27.78, consistent_loss: 11471.23, Cq_loss: 805.68 
Fin_epoch=55, Fin_Total: 121509.80, Re_Loss: 6913857.50, SEloss: 5501.78, dense_loss: 5122.77, csd: 27.52, consistent_loss: 11056.89, Cq_loss: 765.16 
Fin_epoch=60, Fin_Total: 118559.79, Re_Loss: 6806488.00, SEloss: 5334.25, dense_loss: 5031.14, csd: 27.10, consistent_loss: 10765.91, Cq_loss: 717.96 
Fin_epoch=65, Fin_Total: 116461.65, Re_Loss: 6709877.50, SEloss: 5239.73, dense_loss: 4947.08, csd: 26.54, consistent_loss: 10660.96, Cq_loss: 665.27 
Fin_epoch=70, Fin_Total: 113927.21, Re_Loss: 6630127.50, SEloss: 5101.70, dense_loss: 4859.24, csd: 25.86, consistent_loss: 10410.35, Cq_loss: 607.62 
Fin_epoch=75, Fin_Total: 112263.46, Re_Loss: 6568871.00, SEloss: 5033.40, dense_loss: 4799.76, csd: 25.07, consistent_loss: 10317.30, Cq_loss: 546.90 
Fin_epoch=80, Fin_Total: 110600.98, Re_Loss: 6525615.00, SEloss: 4985.56, dense_loss: 4717.36, csd: 24.18, consistent_loss: 10251.49, Cq_loss: 481.88 
Fin_epoch=85, Fin_Total: 109028.91, Re_Loss: 6491986.50, SEloss: 4929.14, dense_loss: 4648.57, csd: 23.22, consistent_loss: 10176.73, Cq_loss: 416.12 
Fin_epoch=90, Fin_Total: 107588.59, Re_Loss: 6462104.00, SEloss: 4865.89, dense_loss: 4635.69, csd: 22.22, consistent_loss: 10023.30, Cq_loss: 347.53 
Fin_epoch=95, Fin_Total: 106001.65, Re_Loss: 6444187.00, SEloss: 4803.79, dense_loss: 4563.28, csd: 21.43, consistent_loss: 9944.65, Cq_loss: 297.48 
